Product ID,Date,Sales Quantity,Promotions,Seasonality Factors,External Factors,Customer Segments,Competitor Prices,Sales Volume,Customer Reviews,Storage Cost,Stock Levels,Supplier Lead Time (days),Stockout Frequency,Warehouse Capacity,Order Fulfillment Time (days),Price
1027,2024-04-18,226,Yes,Holiday,Economic Indicator,Budget,46.17,262,4,2.8,394,26,8,3320,5,41.83
4115,2024-08-20,93,Yes,Festival,Weather,Budget,43.57,124,3,3.09,670,23,16,4385,11,39.48
3303,2024-03-28,254,Yes,Holiday,Economic Indicator,Regular,12.85,151,1,8.2,930,20,15,3620,11,14.05
7166,2024-09-23,337,No,Recyclable Packaging,Weather,Regular,25.71,426,3,8.89,199,1,8,3805,12,28.05
9133,2024-02-19,13,Yes,Festival,Economic Indicator,Regular,19.01,52,2,1.52,442,20,4,3447,6,22.55
5728,2024-07-08,116,No,Carbon Neutral,Weather,Regular,22.49,54,2,9.98,688,21,0,2149,5,24.15
6196,2024-11-01,430,No,Eco-friendly Materials,Economic Indicator,Budget,5.93,460,3,1.83,404,8,16,2992,12,6.62
7090,2024-07-13,103,No,Festival,Competitor Pricing,Budget,13.12,108,1,1.69,648,24,16,1101,12,11.82
9722,2024-06-20,431,No,Energy Efficient Production,Weather,Budget,65.13,481,4,9.75,659,13,3,3042,14,67.86
1985,2024-03-14,278,Yes,Water Conservation,Economic Indicator,Regular,63.28,185,2,8.45,728,6,17,2876,7,67.8
